pt_id,pt_sptyp,pt_spcode,pt_code,pt_type,pt_nbel,pt_com,pt_comment,pt_creadat,pt_majdat,Secteur,TRANCHES,ZHW
86LEB,,,86LEB,NRO,1470,86125,pr¨¦-BLOM TF,20170519,20170630,7,TF,S07op
86SAG,,,86SAG,NRO,1948,86224,pr¨¦-BLOM TF,20170519,20170630,7,TF,S07op
86LEN,,,86LEN,NRO,2935,86128,pr¨¦-BLOM TF,20170519,20170630,7,TF,S07op
86SJS,,,86SJS,NRO,1755,86225,pr¨¦-BLOM TF,20170519,20170630,7,TF,S07op
86LOU,,,86LOU,NRO,4775,86137,FTTH,20170519,20170630,7,TF,S07op
86LRP,,,86LRP,NRO,2470,86207,pr¨¦-BLOM TF,20170519,20170630,7,TF,S07op
86DAN,,,86DAN,NRO,4558,86092,FTTH,20170519,20170630,7,TF,S07op
86CAY,,,86CAY,NRO,1366,86079,FTTH,20170519,20170630,7,TF,S07op
86ROU,,,86ROU,NRO,2229,86213,pr¨¦-BLOM TF,20170519,20170630,9,TF,S09TF
86LUS,,,86LUS,NRO,1849,86139,pr¨¦-BLOM TF,20170519,20170630,9,TF,S09TF
86PAY,,,86PAY,NRO,1074,86188,pr¨¦-BLOM TF,20170519,20170630,9,TF,S09TF
86VIV,,,86VIV,NRO,3464,86293,FTTH,20170519,20170630,9,TF,S09TF
86CLB,,,86CLB,NRO,1070,86083,pr¨¦-BLOM TF,20170519,20170630,9,TF,S09TF
86VDC,,,86VDC,NRO,2350,86290,pr¨¦-BLOM TF,20170519,20170630,9,TF,S09TF
86COH,,,86COH,NRO,2192,86082,pr¨¦-BLOM TF,20170519,20170630,9,TF,S09TF
86SDC,,,86SDC,NRO,1674,86264,pr¨¦-BLOM TF,20170519,20170630,9,TF,S09TF
86CIV,,,86CIV,NRO,3491,86078,FTTH,20170519,20170630,9,TF,S09TF
86CRX,,,86CRX,NRO,1789,86061,pr¨¦-BLOM TF,20170519,20170630,9,TF,S09TF
86GCY,,,86GCY,NRO,2907,86103,pr¨¦-BLOM TF,20170519,20170630,9,TF,S09TF
86FLE,,,86FLE,NRO,1132,86099,pr¨¦-BLOM TF,20170519,20170630,9,TF,S09TF
86MPR,,,86MPR,NRO,1058,86152,pr¨¦-BLOM TF,20170519,20170630,10,TF,S10TF
86LJR,,,86LJR,NRO,2482,86112,pr¨¦-BLOM TF,20170519,20170630,10,TF,S10TF
86LSC,,,86LSC,NRO,3171,86140,pr¨¦-BLOM TF,20170519,20170630,10,TF,S10TF
86CGS,,,86CGS,NRO,905,86084,pr¨¦-BLOM TF,20170519,20170630,10,TF,S10TF
86MON,,,86MON,NRO,4389,86165,FTTH,20170519,20170630,10,TF,S10TF
86SSG,,,86SSG,NRO,2899,86223,pr¨¦-BLOM TF,20170519,20170630,10,TF,S10TF
86CVY,,,86CVY,NRO,4563,86070,FTTH,20170519,20170630,10,TF,S10TF
86SAJ,,,86SAJ,NRO,5156,86226,pr¨¦-BLOM TF,20170519,20170630,10,TF,S10TF
