CB_ID,PM Source,obj Contrat PM,CB_CODE,CB_TRONCON,CB_ND1,Type ND1,CB_ND2,type ND2,support PB,CB_TR_ND1,CB_TR_ND2,CB_CAPAFO,CB_MODULO,CB_DIAM,CB_FONC,CB_POSE,CB_COM,CB_LONG,CB_COMMENT,CB_CREADAT,CB_MAJDAT,ANNEE,SECTEUR,TRANCHES,ZANRO,ZANROHW
86CIV_TR_00001,,#N/A,86CIV_TR_00001,TR/NRO-PEP_TR,86CIV,NRO,86CIV_PEP_TR_00002,PEP_TR,,,,288,12,,TR,,,458.3814815,,20171222,20171222,,9,TF,86CIV,86CIV
86CVY_TR_00022,86CVY_00003,2020-T4,86CVY_TR_00022,TR/PEP_TR-PEP_TR,86CVY_PEP_TR_00022,PEP_TR,86CVY_PEP_TR_00023,PEP_TR,,,,72,12,,TR,,,2308.741129,,20180108,20180108,,10,TF,86CVY,86CVY
86CVY_TR_00019,86CVY_00005,2020-T3,86CVY_TR_00019,TR/PEP_TR-PEP_TR,86CVY_PEP_TR_00019,PEP_TR,86CVY_PEP_TR_00020,PEP_TR,,,,144,12,,TR,,,872.5891734,,20180108,20180108,,10,TF,86CVY,86CVY
86CVY_TR_00010,86CVY_00007,2019-T2,86CVY_TR_00010,TR/PEP_TR-PEP_TR,86CVY_PEP_TR_00008,PEP_TR,86CVY_PEP_TR_00011,PEP_TR,,,,144,12,,TR,,,463.2349731,,20180108,20180108,,10,TF,86CVY,86CVY
86CVY_TR_00018,86CVY_PEP_TR_00020,#N/A,86CVY_TR_00018,TR/PEP_TR-PEP_TR,86CVY_PEP_TR_00006,PEP_TR,86CVY_PEP_TR_00019,PEP_TR,,,,144,12,,TR,,,2310.287754,,20180108,20180108,,10,TF,86CVY,86CVY
86CVY_TR_00021,86CVY_PEP_TR_00023,#N/A,86CVY_TR_00021,TR/PEP_TR-PEP_TR,86CVY_PEP_TR_00020,PEP_TR,86CVY_PEP_TR_00022,PEP_TR,,,,72,12,,TR,,,2304.561754,,20180108,20180108,,10,TF,86CVY,86CVY
86CVY_TR_00002,,#N/A,86CVY_TR_00002,TR/NRO-PEP_TR,86CVY,NRO,86CVY_PEP_TR_00003,PEP_TR,,,,144,12,,TR,,,730.3850319,,20180108,20180108,,10,TF,86CVY,86CVY
86CVY_TR_00005,,#N/A,86CVY_TR_00005,TR/NRO-PEP_TR,86CVY,NRO,86CVY_PEP_TR_00006,PEP_TR,,,,288,12,,TR,,,936.268951,,20180108,20180108,,10,TF,86CVY,86CVY
86CVY_TR_00007,,#N/A,86CVY_TR_00007,TR/NRO-PEP_TR,86CVY,NRO,86CVY_PEP_TR_00008,PEP_TR,,,,288,12,,TR,,,513.7197592,,20180108,20180108,,10,TF,86CVY,86CVY
86CVY_TR_00008,,#N/A,86CVY_TR_00008,TR/NRO-PEP_TR,86CVY,NRO,86CVY_PEP_TR_00009,PEP_TR,,,,144,12,,TR,,,662.9035967,,20180108,20180108,,10,TF,86CVY,86CVY
